,선수,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR+,생일
1496,정현발84삼3B,54,159,132,23,37,6,0,10,73,28,2,2,18,1,1,18,4,7,1,.280,.368,.553,.922,.397,155.2,1.82,1953-02-20
1497,김성현94삼C,101,278,250,26,69,10,1,5,96,30,2,3,18,1,2,23,7,4,5,.276,.321,.384,.705,.318,99.7,1.81,1963-08-21
1498,박노준89OLF,107,382,326,54,97,12,2,0,113,26,25,14,30,9,0,32,3,17,0,.298,.373,.347,.719,.337,106.2,1.81,1962-10-26
1499,김경기93태1B,86,351,318,28,89,14,0,8,127,49,2,2,27,4,4,37,15,1,1,.280,.343,.399,.742,.346,125.4,1.81,1968-04-05
1500,김주찬01롯1B,86,333,300,57,94,21,4,4,135,31,29,8,24,2,0,56,7,2,5,.313,.363,.450,.813,.366,111.1,1.81,1981-03-25
1501,이도형02한C,123,392,365,36,88,15,0,16,151,55,2,1,20,2,2,66,10,2,3,.241,.282,.414,.696,.301,81.6,1.81,1975-05-24
1502,유한준17kRF,133,497,445,52,136,19,0,13,194,68,0,2,45,2,2,59,10,2,3,.306,.370,.436,.806,.359,105.6,1.81,1981-07-01
1503,강정길89빙1B,119,384,341,38,97,17,3,4,132,48,4,2,31,6,0,27,10,0,6,.284,.349,.387,.736,.351,115.3,1.81,1962-07-25
1504,임재철09두RF,121,426,359,61,101,13,1,6,134,50,11,5,52,12,0,63,14,2,1,.281,.389,.373,.762,.359,105.8,1.80,1976-04-08
1505,브룸바09히DH,123,526,436,69,107,21,1,27,211,86,2,2,86,2,9,111,17,0,2,.245,.371,.484,.855,.373,115.3,1.80,1974-04-21
1506,김용의16LCF,105,347,308,62,98,18,4,1,127,20,19,7,35,0,0,64,6,4,0,.318,.388,.412,.800,.369,104.7,1.80,1985-08-20
1507,강민호09롯C,83,301,262,36,68,13,0,9,108,30,0,0,33,3,1,44,9,0,3,.260,.346,.412,.758,.342,94.8,1.80,1985-08-18
1508,이광근88태,67,234,205,20,61,18,1,5,96,25,0,2,18,2,0,26,3,8,1,.298,.358,.468,.827,.367,127.2,1.79,1962-01-24
1509,조성환09롯2B,76,294,269,35,79,19,0,8,122,36,13,2,19,2,0,33,7,1,3,.294,.341,.454,.795,.353,101.9,1.79,1976-12-23
1510,박정권15S1B,124,494,438,66,123,23,0,21,209,70,3,3,46,4,1,119,9,4,2,.281,.353,.477,.830,.364,113.0,1.79,1981-07-21
1511,김재현10SDH,111,328,267,41,77,17,0,10,124,48,7,5,51,3,2,42,10,4,3,.288,.404,.464,.869,.391,132.8,1.79,1975-10-02
1512,김평호91쌍CF,117,404,338,49,78,14,4,4,112,35,34,18,50,4,0,46,8,10,2,.231,.335,.331,.666,.312,88.8,1.79,1963-12-23
1513,양준혁05삼DH,124,463,394,61,103,15,1,13,159,50,10,3,62,5,5,44,16,0,2,.261,.367,.404,.771,.355,115.0,1.79,1969-05-26
1514,박용택10LDH,107,420,370,62,111,21,0,9,159,45,19,4,38,5,3,64,6,6,1,.300,.372,.430,.802,.362,113.7,1.79,1979-04-21
1515,박계원92롯SS,121,393,338,48,82,15,5,6,125,47,6,2,36,5,0,44,11,10,4,.243,.321,.370,.691,.312,83.7,1.79,1970-02-04
1516,라이온05롯1B,125,534,492,65,132,40,3,11,211,73,7,3,37,2,3,70,11,2,1,.268,.321,.429,.750,.338,103.5,1.79,1971-11-15
1517,이숭용95태1B,83,300,267,37,68,16,4,11,125,45,5,3,25,3,3,44,5,1,4,.255,.321,.468,.789,.349,125.0,1.78,1971-03-10
1518,김성래97쌍3B,99,325,266,27,68,14,0,9,109,45,0,1,34,8,3,53,10,9,8,.256,.348,.410,.758,.332,105.6,1.78,1961-03-23
1519,백인호88해2B,96,325,280,38,73,12,4,3,102,22,14,5,30,3,0,21,7,10,2,.261,.337,.364,.701,.320,95.3,1.78,1963-05-19
1520,배대웅83삼3B,78,268,228,27,65,10,2,2,85,22,6,1,24,1,0,11,5,13,2,.285,.353,.373,.726,.325,105.3,1.78,1954-03-02
1521,박현승00롯3B,111,407,344,40,83,19,2,6,124,39,23,3,47,5,1,54,4,10,1,.241,.340,.360,.701,.316,83.2,1.78,1972-09-12
1522,이선웅89태SS,117,394,339,33,81,13,2,1,101,35,11,0,42,3,4,21,7,5,5,.239,.324,.298,.622,.298,79.1,1.77,1961-02-11
1523,장태수85삼CF,104,297,252,33,73,13,0,1,89,25,10,7,30,3,0,28,5,8,4,.290,.367,.353,.720,.334,106.3,1.77,1957-10-15
1524,전준호99현LF,129,562,470,80,137,7,2,4,160,43,38,12,67,4,1,72,1,15,6,.291,.380,.340,.721,.330,89.8,1.77,1969-02-15
1525,김인식85M2B,110,454,404,48,111,14,0,2,131,16,17,11,30,8,1,22,8,11,1,.275,.336,.324,.661,.309,87.9,1.77,1953-11-09
1526,댄블랙15k1B,54,225,198,25,66,10,1,12,114,32,0,0,25,2,2,52,4,0,0,.333,.413,.576,.989,.430,153.6,1.77,1987-07-02
1527,김태형93OC,107,278,242,22,67,14,2,1,88,27,1,0,15,2,0,14,5,14,5,.277,.318,.364,.682,.304,94.2,1.77,1967-09-12
1528,김종국03K2B,125,539,464,67,116,23,1,6,159,46,31,11,53,4,0,67,3,14,3,.250,.330,.343,.673,.305,77.4,1.77,1973-09-14
1529,박진만08삼SS,104,391,332,28,81,12,3,5,114,38,5,4,44,3,0,50,9,9,3,.244,.335,.343,.679,.317,88.1,1.77,1976-11-30
1530,동봉철95삼CF,110,346,293,54,69,11,0,1,83,18,11,2,40,9,0,55,2,2,1,.235,.344,.283,.627,.302,92.8,1.76,1970-01-02
1531,최태원00S2B,133,568,492,71,129,15,0,5,159,50,9,4,56,10,1,55,9,7,3,.262,.348,.323,.671,.313,81.4,1.76,1970-08-19
1532,김동수02SC,95,299,251,28,61,10,2,11,108,32,1,1,22,9,1,51,4,14,3,.243,.323,.430,.753,.316,91.3,1.76,1968-10-27
1533,박흥식90LCF,88,334,273,42,67,7,2,0,78,25,16,10,51,5,0,38,4,2,3,.245,.371,.286,.656,.328,97.9,1.76,1962-01-05
1534,송인호91쌍2B,37,145,129,19,42,10,0,5,67,23,8,5,13,2,0,25,2,1,0,.326,.396,.519,.915,.417,157.7,1.76,1968-12-27
1535,이광은85MLF,87,358,326,38,91,11,3,6,126,39,20,8,24,4,5,42,7,0,4,.279,.332,.387,.719,.331,104.2,1.75,1955-06-28
1536,신경현04한C,97,300,274,27,75,11,2,5,105,27,3,4,22,1,0,58,3,2,1,.274,.329,.383,.712,.328,92.6,1.75,1975-11-28
1537,김광림92OCF,119,427,383,45,110,16,3,1,135,31,13,6,30,3,2,38,2,6,4,.287,.341,.352,.693,.318,87.1,1.75,1961-03-09
1538,김민성18넥3B,128,465,413,46,117,24,0,10,171,45,1,0,40,6,3,80,6,1,5,.283,.351,.414,.765,.338,93.4,1.75,1988-12-17
1539,박용택03LLF,133,555,494,68,127,21,6,11,193,51,42,12,40,9,2,83,7,6,5,.257,.321,.391,.712,.318,85.8,1.75,1979-04-21
1540,이대형16kCF,143,654,600,89,192,14,3,1,215,42,37,20,44,2,0,90,6,7,1,.320,.368,.358,.726,.341,86.9,1.75,1983-07-19
1541,백인호95쌍3B,106,394,352,36,86,13,2,7,124,40,3,0,31,3,1,54,11,6,2,.244,.309,.352,.662,.302,92.2,1.75,1963-05-19
1542,윤요섭12LC,75,196,171,17,51,7,0,2,64,19,3,2,16,6,1,35,9,1,2,.298,.374,.374,.749,.355,121.7,1.74,1982-03-30
1543,심재학95LRF,106,299,239,32,55,10,4,4,85,18,2,5,52,5,2,42,1,1,2,.230,.376,.356,.732,.343,121.8,1.74,1972-10-18
1544,김실94삼LF,115,393,337,51,92,11,5,3,122,33,4,8,45,2,3,43,6,8,1,.273,.361,.362,.723,.333,109.5,1.74,1967-06-03
1545,김상현10K3B,79,330,288,44,62,5,1,21,132,53,3,1,33,8,1,85,10,0,1,.215,.312,.458,.771,.342,100.2,1.74,1980-11-12
1546,이숭용07현1B,95,351,299,39,90,19,1,2,117,34,2,1,42,2,5,33,7,7,1,.301,.390,.391,.781,.359,119.7,1.74,1971-03-10
1547,김동수07현C,111,356,306,22,85,18,0,4,115,39,2,4,26,1,2,19,6,16,7,.278,.329,.376,.705,.312,87.5,1.73,1968-10-27
1548,김경언12한CF,110,313,268,25,65,14,2,4,95,31,7,4,39,1,2,73,1,4,1,.243,.340,.354,.694,.326,101.2,1.73,1982-12-07
1549,박석민17N3B,101,382,319,43,78,15,0,14,135,56,1,2,50,13,0,92,17,0,0,.245,.369,.423,.792,.359,107.5,1.73,1985-06-22
1550,박병호11L넥1B,66,230,201,31,51,11,2,13,105,31,2,0,26,2,0,76,5,0,1,.254,.344,.522,.866,.389,137.0,1.73,1986-07-10
1551,잉글린02S,78,279,248,33,70,18,0,6,106,36,0,1,23,5,0,47,5,0,3,.282,.351,.427,.779,.348,113.7,1.73,1975-10-08
1552,김광림94쌍CF,119,444,388,56,93,15,4,4,128,31,20,7,39,1,0,49,5,15,0,.240,.311,.330,.641,.292,81.5,1.72,1961-03-09
1553,라이온04롯DH,102,438,404,52,121,28,0,12,185,55,3,1,25,5,2,66,5,1,3,.300,.346,.458,.804,.363,116.0,1.72,1971-11-15
1554,정형식12삼CF,118,325,274,44,65,11,3,4,94,19,22,4,30,6,0,48,5,12,3,.237,.323,.343,.666,.307,87.6,1.72,1991-01-28
1555,정회열92해C,97,241,214,28,59,10,1,7,92,46,3,1,13,6,0,31,9,5,3,.276,.331,.430,.760,.338,100.9,1.72,1968-10-09
1556,김호92쌍SS,121,484,415,48,98,14,2,8,140,48,12,8,55,1,0,76,12,10,2,.236,.326,.337,.663,.306,79.7,1.72,1967-05-03
1557,박승호92삼RF,91,306,265,34,75,14,0,10,119,45,1,2,33,4,4,26,6,0,4,.283,.366,.449,.815,.367,119.7,1.72,1958-02-09
1558,김상훈07KC,109,362,320,28,84,17,0,3,110,31,3,0,20,7,0,40,6,13,2,.263,.318,.344,.662,.303,80.7,1.72,1977-10-27
1559,홍성흔99두C,111,392,353,47,91,14,1,16,155,63,3,1,22,3,0,61,10,10,4,.258,.304,.439,.743,.314,78.8,1.72,1977-02-28
1560,홍성흔01두C,122,452,408,50,109,18,1,8,153,48,9,4,26,6,3,53,13,8,4,.267,.318,.375,.693,.311,73.5,1.72,1977-02-28
1561,서건창13넥2B,86,372,316,53,84,13,2,0,101,18,26,7,33,11,0,29,3,8,4,.266,.352,.320,.671,.321,85.5,1.72,1989-08-22
1562,최희섭12K1B,80,301,246,31,62,17,0,7,100,42,1,1,50,2,5,53,9,0,3,.252,.379,.407,.785,.366,129.7,1.72,1979-03-16
1563,강석천02한3B,94,266,242,27,70,11,1,6,101,28,7,3,20,2,0,51,9,1,1,.289,.347,.417,.765,.342,109.1,1.72,1967-12-07
1564,서정환83해2B,98,358,319,33,82,11,3,3,108,34,13,6,27,4,1,42,10,5,3,.257,.320,.339,.659,.306,91.8,1.72,1955-02-25
1565,이대형08LCF,126,574,523,71,138,5,2,0,147,33,63,15,39,2,1,80,3,9,1,.264,.317,.281,.598,.287,66.9,1.71,1983-07-19
1566,김성래92삼DH,86,266,226,31,66,13,0,11,112,50,1,2,34,3,0,38,4,3,0,.292,.392,.496,.887,.398,140.3,1.71,1961-03-23
1567,박경수17k2B,131,511,442,62,116,27,1,15,190,66,1,2,57,6,4,118,14,3,3,.262,.352,.430,.782,.345,95.9,1.71,1984-03-31
1568,이호준16NDH,119,472,399,46,119,20,0,21,202,87,3,2,65,2,6,78,11,2,4,.298,.396,.506,.902,.396,125.7,1.71,1976-02-08
1569,김우근84삼CF,76,264,229,30,60,6,3,2,78,21,15,2,24,3,1,21,3,6,2,.262,.337,.341,.678,.314,95.8,1.71,1956-01-26
1570,전대영86빙1B,65,236,203,27,51,8,2,10,93,30,0,2,27,2,0,31,5,2,2,.251,.342,.458,.800,.371,140.7,1.71,1962-02-10
1571,전준호07현LF,121,430,371,52,110,8,1,1,123,13,11,8,40,9,1,45,6,8,2,.297,.377,.332,.708,.337,104.5,1.71,1969-02-15
1572,이범호03한3B,107,384,323,46,77,19,1,11,131,38,2,6,47,5,1,63,6,8,1,.238,.343,.406,.749,.334,97.4,1.71,1981-11-25
1573,김강민18SCF,80,267,235,40,70,14,0,14,126,46,10,6,22,5,0,57,1,5,0,.298,.370,.536,.906,.381,119.1,1.71,1982-09-13
1574,노진혁18N3B,125,458,420,52,119,21,4,11,181,42,4,3,33,2,0,92,8,1,2,.283,.337,.431,.768,.337,95.1,1.70,1989-07-15
1575,오재원10두2B,123,421,384,59,106,17,3,0,129,37,35,10,29,4,1,76,5,2,2,.276,.332,.336,.668,.313,80.8,1.70,1985-02-09
1576,이광길89태1B,120,458,370,42,100,17,3,0,123,38,17,8,62,4,1,52,8,17,5,.270,.376,.332,.709,.335,104.8,1.70,1960-08-04
1577,우경하86청3B,100,337,309,26,81,11,0,5,107,18,3,5,20,5,0,40,4,2,1,.262,.316,.346,.663,.316,101.6,1.69,1957-10-15
1578,김경언14한RF,89,355,300,43,94,16,3,8,140,52,1,3,40,4,0,42,8,7,4,.313,.397,.467,.863,.382,110.4,1.69,1982-12-07
1579,정구선88롯SS,107,393,335,38,74,9,1,12,121,52,4,1,40,4,3,38,4,11,3,.221,.309,.361,.670,.303,83.3,1.69,1956-12-15
1580,오선진12한3B,110,446,399,33,105,18,3,3,138,41,14,9,25,7,0,65,7,13,2,.263,.316,.346,.662,.306,87.7,1.69,1989-07-07
1581,노찬엽96LCF,105,351,305,37,74,11,2,5,104,28,5,3,37,2,1,47,5,7,0,.243,.329,.341,.670,.310,94.7,1.69,1965-01-15
1582,이병규15LLF,70,277,230,42,56,9,1,12,103,35,2,1,43,3,2,83,4,1,0,.243,.370,.448,.817,.365,119.0,1.69,1983-10-09
1583,강동우01삼CF,125,403,347,54,87,15,2,6,124,42,6,1,49,3,0,44,9,2,1,.251,.348,.357,.705,.331,87.6,1.68,1974-04-20
1584,강성우92롯C,94,226,201,25,61,11,1,2,80,31,0,1,15,4,0,22,6,5,1,.303,.362,.398,.760,.347,106.3,1.68,1970-01-05
1585,정훈13롯SS,113,398,341,50,88,15,3,5,124,37,7,3,30,8,0,54,8,14,5,.258,.328,.364,.692,.316,82.2,1.68,1987-07-18
1586,최진행17한LF,89,289,258,29,79,21,0,13,139,50,0,2,19,10,0,77,3,1,1,.306,.375,.539,.914,.395,130.2,1.68,1985-08-17
1587,정성훈15L1B,117,440,363,47,103,16,1,9,148,45,9,4,54,13,5,65,9,6,4,.284,.392,.408,.799,.361,113.0,1.68,1980-06-27
1588,이재원15SC,140,559,489,58,138,18,1,17,209,100,1,3,54,11,5,85,22,0,5,.282,.363,.427,.791,.355,106.7,1.68,1988-02-24
1589,김진규91태RF,103,324,269,42,66,20,2,4,102,25,14,6,45,2,0,47,5,5,3,.245,.354,.379,.733,.341,108.1,1.68,1965-05-10
1590,이광근90태,66,189,159,25,44,13,2,2,67,18,1,1,25,3,1,17,5,2,0,.277,.385,.421,.806,.378,132.1,1.67,1962-01-24
1591,박재홍09SRF,113,376,315,53,85,12,0,12,133,46,15,4,45,8,2,57,7,4,4,.270,.371,.422,.793,.356,104.1,1.67,1973-09-07
1592,김일환84해2B,96,361,321,37,88,15,2,0,107,27,4,6,30,3,1,39,7,5,1,.274,.341,.333,.674,.316,97.1,1.67,1954-01-11
1593,정경훈93삼SS,101,293,259,41,62,15,2,3,90,26,23,12,23,1,0,56,8,7,3,.239,.301,.347,.648,.299,91.1,1.67,1972-05-22
1594,이숭용99현1B,109,367,307,43,81,12,2,14,139,39,2,2,46,12,3,52,7,1,1,.264,.380,.453,.833,.368,115.3,1.66,1971-03-10
1595,이진영16kDH,115,424,371,49,123,23,1,10,178,72,2,5,45,3,1,44,13,0,5,.332,.403,.480,.883,.400,125.2,1.66,1980-06-15
1596,유승안85해C,63,167,151,20,41,6,0,8,71,18,0,1,14,0,0,28,4,2,0,.272,.333,.470,.804,.365,128.5,1.66,1956-06-01
1597,김상현07L3B,121,434,378,44,89,27,0,7,137,41,6,0,33,10,0,85,12,10,3,.235,.311,.362,.674,.310,85.6,1.66,1980-11-12
1598,정영규96한LF,116,353,297,39,72,13,3,7,112,30,4,4,43,5,3,69,6,6,2,.242,.346,.377,.723,.330,109.2,1.66,1970-11-03
1599,김무종85해C,87,301,263,28,65,14,0,7,100,35,1,1,26,0,2,32,9,5,7,.247,.307,.380,.688,.311,89.5,1.66,1954-04-07
1600,최태원96쌍2B,126,523,449,57,116,22,3,1,147,40,5,6,32,13,1,53,6,20,4,.258,.323,.327,.651,.293,82.9,1.66,1970-08-19
1601,정수근06롯LF,83,333,295,44,84,14,1,2,106,21,19,4,26,1,0,36,7,10,1,.285,.344,.359,.703,.323,102.7,1.66,1977-01-20
1602,조성환12롯2B,103,390,345,40,96,14,0,3,119,33,5,2,28,1,0,58,7,14,2,.278,.332,.345,.677,.312,91.7,1.66,1976-12-23
1603,김창희04두CF,110,344,301,37,83,17,1,4,114,31,2,3,28,9,1,53,13,6,0,.276,.355,.379,.734,.339,99.4,1.65,1973-07-03
1604,홍성흔03두C,73,263,241,20,70,12,0,7,103,36,2,2,15,0,0,44,8,2,5,.290,.326,.427,.753,.334,97.4,1.65,1977-02-28
1605,이만수94삼1B,109,269,233,24,59,14,0,12,109,37,0,2,28,5,1,42,5,1,2,.253,.343,.468,.811,.367,133.1,1.65,1958-09-19
1606,박승호84삼DH,92,267,220,28,61,11,1,3,83,23,5,3,35,11,3,21,3,0,1,.277,.401,.377,.778,.369,135.1,1.65,1958-02-09
1607,이선웅90태SS,120,474,423,42,110,14,0,1,127,47,4,4,36,7,1,47,16,7,1,.260,.328,.300,.628,.303,80.4,1.65,1961-02-11
1608,나주환10SSS,100,353,305,49,82,13,2,7,120,42,14,6,25,5,0,74,3,16,2,.269,.332,.393,.726,.320,85.0,1.65,1984-06-14
1609,이종민97O2B,118,281,247,28,75,13,1,3,99,30,7,6,18,3,0,29,9,10,3,.304,.354,.401,.755,.334,107.6,1.64,1972-12-25
1610,정근우18한2B,102,425,375,63,114,24,1,11,173,57,6,5,39,7,1,43,12,1,3,.304,.377,.461,.839,.369,111.8,1.64,1982-10-02
1611,이택근11L1B,85,368,317,44,94,17,0,4,123,29,10,6,40,3,1,45,9,5,3,.297,.377,.388,.765,.358,115.6,1.64,1980-07-10
1612,문우람13넥RF,69,291,256,41,78,19,0,4,109,28,2,2,25,4,0,43,1,4,2,.305,.373,.426,.799,.370,118.6,1.64,1992-03-08
1613,김재걸95삼SS,109,311,281,32,70,11,5,3,100,32,10,5,16,6,0,61,3,6,2,.249,.302,.356,.658,.298,89.7,1.64,1972-09-07
1614,이호성00해RF,117,468,397,52,96,25,0,8,145,57,13,1,65,4,1,102,8,0,2,.242,.353,.365,.718,.333,94.6,1.64,1967-07-17
1615,지화선93빙,115,337,303,27,84,14,2,1,105,21,5,6,22,3,0,23,4,5,4,.277,.328,.347,.675,.316,102.9,1.64,1970-05-10
1616,김바위88태3B,82,198,168,23,45,10,0,7,76,28,1,0,26,1,5,26,7,1,2,.268,.366,.452,.818,.366,126.5,1.64,1955-04-08
1617,안재만00L3B,83,236,202,29,52,9,1,11,96,34,5,3,28,2,0,51,4,2,2,.257,.350,.475,.826,.361,113.8,1.63,1974-10-02
1618,이도형05한DH,113,431,391,43,101,18,1,22,187,72,0,0,30,9,0,75,15,0,1,.258,.325,.478,.803,.360,118.2,1.63,1975-05-24
1619,고동진04한,51,178,161,27,51,12,0,5,78,19,8,2,7,7,0,40,1,3,0,.317,.371,.484,.856,.384,129.9,1.63,1980-04-01
1620,김민재01롯SS,105,374,335,48,101,14,1,2,123,37,6,6,23,5,0,28,5,8,3,.301,.353,.367,.720,.331,87.5,1.63,1973-01-03
1621,차영화82해SS,76,323,282,46,73,9,1,1,87,12,32,10,31,3,0,20,3,5,2,.259,.337,.309,.645,.305,82.5,1.63,1957-06-27
1622,김한근89태2B,93,200,166,20,46,7,0,3,62,21,3,3,28,3,0,30,3,1,2,.277,.387,.373,.760,.368,127.5,1.62,1955-03-05
1623,박한이11삼RF,121,506,429,77,110,19,2,4,145,30,8,2,60,5,3,88,7,10,2,.256,.353,.338,.691,.325,93.1,1.62,1979-01-28
1624,송지만11넥RF,106,350,301,43,80,8,1,9,117,43,9,1,38,3,3,78,5,5,3,.266,.351,.389,.739,.340,103.5,1.62,1973-03-02
1625,김윤환90태CF,119,391,339,45,84,18,4,3,119,40,19,11,39,1,2,41,10,10,2,.248,.326,.351,.677,.314,87.9,1.62,1957-08-01
1626,김현수07두LF,99,353,319,33,87,19,3,5,127,32,5,2,26,5,1,46,12,1,2,.273,.335,.398,.733,.340,107.4,1.62,1988-01-12
1627,이영우98한LF,97,342,297,34,81,19,1,9,129,31,6,9,38,0,3,50,9,6,1,.273,.354,.434,.789,.346,116.0,1.62,1973-11-27
1628,정수근04롯CF,92,340,292,37,75,11,1,3,97,29,24,5,38,3,1,38,4,6,1,.257,.347,.332,.680,.319,85.7,1.62,1977-01-20
1629,임재철10두RF,96,173,130,27,38,5,2,3,56,18,7,3,31,8,2,28,2,3,1,.292,.453,.431,.884,.406,143.2,1.61,1976-04-08
1630,송지만03한RF,74,317,273,41,69,16,3,9,118,34,8,6,34,8,0,60,3,1,1,.253,.351,.432,.784,.354,111.1,1.61,1973-03-02
1631,안치홍13K2B,118,484,414,56,103,15,0,3,127,39,16,1,52,6,0,74,13,7,5,.249,.338,.307,.644,.310,78.4,1.61,1990-07-02
1632,함학수83삼SS,93,315,295,40,77,10,2,5,106,32,8,4,12,2,0,29,5,5,1,.261,.294,.359,.653,.299,87.7,1.61,1955-01-02
1633,박현승99롯3B,100,405,342,49,90,21,2,6,133,39,12,3,40,7,1,59,11,15,1,.263,.351,.389,.740,.324,86.0,1.61,1972-09-12
1634,손주인16L2B,122,409,354,47,114,20,3,2,146,39,5,4,33,6,0,35,6,12,4,.322,.385,.412,.798,.360,100.1,1.61,1983-12-01
1635,클락10넥LF,92,397,347,58,92,16,2,12,148,50,12,7,43,1,2,72,9,0,6,.265,.343,.427,.769,.347,103.7,1.61,1976-03-05
1636,김한근88빙2B,82,218,199,20,59,10,0,5,84,30,2,3,17,1,0,16,5,0,1,.296,.353,.422,.775,.361,122.5,1.61,1955-03-05
1637,최동창93ORF,92,236,199,22,49,9,1,7,81,20,1,0,29,3,1,40,8,5,0,.246,.351,.407,.758,.350,129.2,1.61,1965-06-07
1638,조원우07한CF,114,359,319,36,85,15,1,4,114,26,6,1,23,7,0,47,9,9,1,.266,.329,.357,.686,.317,91.0,1.61,1971-04-08
1639,한문연84롯C,63,167,141,14,41,7,0,4,60,16,0,1,19,0,1,15,4,7,0,.291,.375,.426,.801,.358,127.7,1.61,1961-04-10
1640,김창희97해RF,102,350,315,41,83,20,1,9,132,43,2,2,27,5,2,50,7,2,1,.263,.331,.419,.750,.337,109.1,1.61,1973-07-03
1641,고원부90빙RF,107,334,288,42,73,13,2,9,117,45,4,4,37,3,2,34,7,4,2,.253,.342,.406,.749,.347,110.5,1.61,1962-04-17
1642,김용달82M3B,68,191,168,29,53,10,0,5,78,23,2,3,19,0,1,30,6,2,2,.315,.381,.464,.845,.379,130.8,1.61,1956-05-10
1643,박해민14삼CF,119,373,310,65,92,11,4,1,114,31,36,8,37,6,0,45,4,19,1,.297,.381,.368,.749,.337,85.3,1.60,1990-02-24
1644,김광수87O2B,104,454,382,52,93,12,0,1,108,41,22,11,54,5,0,29,11,11,2,.243,.343,.283,.626,.304,82.7,1.60,1959-01-03
1645,엔젤04한,40,156,131,21,36,3,0,9,66,27,2,0,23,2,0,30,4,0,0,.275,.391,.504,.895,.405,143.7,1.60,1975-02-16
1646,신동주96삼CF,75,201,174,31,40,9,0,9,76,22,6,5,16,10,0,37,1,1,0,.230,.330,.437,.767,.352,123.9,1.60,1972-12-14
1647,김인식82M2B,80,355,309,47,80,9,0,3,98,25,35,7,17,18,0,14,7,11,0,.259,.334,.317,.652,.303,82.2,1.59,1953-11-09
1648,김상국89빙C,94,204,174,19,45,8,2,6,75,27,1,3,21,0,1,13,7,5,4,.259,.332,.431,.763,.345,111.6,1.59,1963-04-05
1649,김근석83삼2B,89,320,284,35,77,12,0,4,101,28,2,6,15,13,0,37,5,7,1,.271,.336,.356,.691,.321,102.5,1.59,1962-06-18
1650,박흥식86MCF,98,430,377,33,96,14,2,0,114,40,8,8,30,10,0,32,7,10,3,.255,.324,.302,.626,.298,87.5,1.59,1962-01-05
1651,김대진83삼LF,94,363,311,42,86,11,1,2,105,23,4,1,30,9,0,35,3,10,3,.277,.354,.338,.692,.321,102.9,1.59,1955-12-22
1652,이종두87삼1B,99,336,304,49,82,8,1,10,122,38,14,2,22,4,0,44,11,4,2,.270,.325,.401,.727,.340,108.2,1.59,1962-04-05
1653,노찬엽92LLF,109,465,405,52,110,21,2,6,153,50,6,5,50,3,4,51,11,4,3,.272,.354,.378,.731,.336,99.4,1.59,1965-01-15
1654,강종필91삼RF,111,301,258,42,68,7,3,8,105,29,15,3,28,3,1,50,8,11,1,.264,.341,.407,.748,.335,103.9,1.59,1967-02-28
1655,장민석12넥LF,116,475,414,64,102,9,5,8,145,35,32,10,40,3,0,67,1,14,4,.246,.315,.350,.665,.306,87.5,1.58,1982-05-09
1656,최동수05L1B,77,229,210,20,67,17,0,6,102,36,1,0,17,0,1,29,3,1,1,.319,.368,.486,.854,.384,135.7,1.58,1971-09-11
1657,송광민18한3B,113,460,434,63,129,24,0,18,207,79,4,4,18,4,0,93,13,0,4,.297,.328,.477,.805,.346,96.4,1.58,1983-06-24
1658,김호96쌍SS,126,447,389,42,93,14,6,1,122,39,22,11,33,4,0,72,9,18,3,.239,.303,.314,.617,.280,73.7,1.58,1967-05-03
1659,이지영18삼C,90,203,178,31,61,10,0,2,77,19,0,0,15,4,1,27,3,6,0,.343,.406,.433,.839,.368,113.5,1.58,1986-02-27
1660,박한이13삼RF,112,466,394,56,112,12,3,6,148,55,4,4,51,1,0,74,5,18,2,.284,.366,.376,.742,.340,98.9,1.57,1979-01-28
1661,박한이16삼RF,110,401,349,57,105,21,0,14,168,69,1,0,40,2,2,72,5,6,4,.301,.372,.481,.854,.374,109.2,1.57,1979-01-28
1662,김민성12넥3B,71,254,219,24,62,9,0,4,83,22,7,2,17,6,0,58,2,8,4,.283,.346,.379,.725,.332,105.7,1.57,1988-12-17
1663,이대호04롯1B,132,514,444,52,110,26,0,20,196,68,4,3,38,20,0,78,21,6,6,.248,.331,.441,.772,.347,104.8,1.57,1982-06-21
1664,김민호87롯1B,104,397,337,36,89,15,2,4,120,50,9,2,50,2,6,36,7,3,5,.264,.358,.356,.714,.336,105.5,1.57,1961-04-28
1665,정성룡91삼,77,157,132,22,39,8,0,5,62,12,2,3,22,1,0,23,1,2,0,.295,.400,.470,.870,.398,146.1,1.56,1964-05-19
1666,최준석05롯C,100,309,280,19,69,8,0,8,101,42,4,1,24,3,0,58,9,1,1,.246,.312,.361,.672,.312,85.3,1.56,1983-02-15
1667,윤재호91해SS,113,332,264,34,64,9,2,2,83,27,18,12,44,5,0,29,6,18,1,.242,.360,.314,.674,.312,88.3,1.56,1967-03-06
1668,임수혁97롯C,49,176,145,15,36,5,0,6,59,25,1,1,28,0,0,32,6,2,1,.248,.368,.407,.775,.353,120.0,1.56,1969-06-17
1669,김상현03L3B,55,209,182,24,49,9,1,7,81,28,7,1,16,7,0,50,1,1,3,.269,.346,.445,.791,.353,111.3,1.56,1980-11-12
